category,baseline_f1,hybrid_f1,delta
Async-Wait,0.5988023952095808,0.588957055214724,-0.009845339994856817
Concurrency,0.3582089552238806,0.39436619718309857,0.03615724195921799
Time,0.7222222222222222,0.7222222222222222,0.0
Unordered Collections,0.723404255319149,0.723404255319149,0.0
Order Dependency,0.6583850931677019,0.6583850931677019,0.0
Non-flaky,0.9999397118225116,0.9999397118225116,0.0
